"Recall","Precision"
"1","0.741422805247225"
"1","0.7416098914963412"
"1","0.7417970721857647"
"1","0.7419843473870235"
"1","0.7421717171717171"
"0.9996597482136781","0.7421065925738823"
"0.9996597482136781","0.7422940879231935"
"0.9996597482136781","0.7424816780389184"
"0.9996597482136781","0.7426693629929222"
"0.9996597482136781","0.7428571428571429"
"0.9996597482136781","0.7430450177035913"
"0.9993194964273563","0.7429800151783456"
"0.9993194964273563","0.743168016194332"
"0.9993194964273563","0.7433561123766135"
"0.9989792446410344","0.7432911392405064"
"0.9989792446410344","0.743479361863763"
"0.9989792446410344","0.7436676798378926"
"0.9989792446410344","0.7438560932353686"
"0.9989792446410344","0.7440446021287379"
"0.9989792446410344","0.7442332065906211"
"0.9986389928547125","0.7441683569979716"
"0.9986389928547125","0.7443570885112858"
"0.9982987410683906","0.7442922374429224"
"0.9982987410683906","0.7444810961684851"
"0.9979584892820688","0.7444162436548223"
"0.9979584892820688","0.7446052297537447"
"0.9979584892820688","0.7447943118334179"
"0.9979584892820688","0.7449834899669799"
"0.9976182374957469","0.7449186991869918"
"0.9976182374957469","0.7451080050825921"
"0.9976182374957469","0.7452974072191154"
"0.9976182374957469","0.745486905669972"
"0.9976182374957469","0.745676500508647"
"0.9976182374957469","0.7458661918087001"
"0.9972779857094249","0.7458015267175573"
"0.9972779857094249","0.7459913463985747"
"0.9972779857094249","0.7461812627291242"
"0.9969377339231031","0.7461166284695696"
"0.9969377339231031","0.7463066734589914"
"0.9969377339231031","0.7464968152866241"
"0.9969377339231031","0.7466870540265036"
"0.9969377339231031","0.7468773897527402"
"0.9969377339231031","0.7470678225395206"
"0.9969377339231031","0.7472583524611068"
"0.9969377339231031","0.7474489795918368"
"0.9965974821367812","0.747384536871651"
"0.9962572303504593","0.7473200612557427"
"0.9962572303504593","0.7475108501404136"
"0.9959169785641374","0.7474463738508682"
"0.9955767267778156","0.747381864623244"
"0.9955767267778156","0.7475728155339806"
"0.9955767267778156","0.7477638640429338"
"0.9952364749914937","0.7476993865030674"
"0.9952364749914937","0.7478905650728714"
"0.9952364749914937","0.7480818414322251"
"0.9952364749914937","0.7482732156561781"
"0.9952364749914937","0.7484646878198568"
"0.9952364749914937","0.7486562579984642"
"0.9952364749914937","0.7488479262672811"
"0.9952364749914937","0.7490396927016645"
"0.9952364749914937","0.7492315573770492"
"0.9952364749914937","0.749423520368947"
"0.9952364749914937","0.7496155817529472"
"0.9952364749914937","0.7498077416047167"
"0.9948962232051718","0.7497435897435898"
"0.9948962232051718","0.749935880995127"
"0.9948962232051718","0.750128270908158"
"0.9948962232051718","0.7503207595586349"
"0.99455597141885","0.7502566735112937"
"0.99455597141885","0.7504492939666239"
"0.99455597141885","0.7506420133538778"
"0.99455597141885","0.7508348317492936"
"0.99455597141885","0.751027749229188"
"0.99455597141885","0.7512207658699563"
"0.99455597141885","0.751413881748072"
"0.99455597141885","0.7516070969400874"
"0.99455597141885","0.7518004115226338"
"0.99455597141885","0.7519938255724209"
"0.99455597141885","0.7521873391662378"
"0.9942157196325281","0.7521235521235521"
"0.9938754678462062","0.7520597322348095"
"0.9938754678462062","0.7522534123100695"
"0.9938754678462062","0.752447192168985"
"0.9938754678462062","0.7526410718886885"
"0.9935352160598843","0.7525773195876289"
"0.9935352160598843","0.7527713328177366"
"0.9935352160598843","0.7529654461062403"
"0.9935352160598843","0.7531596595305649"
"0.9935352160598843","0.7533539731682146"
"0.9931949642735625","0.7532903225806452"
"0.9931949642735625","0.7534847702632937"
"0.9931949642735625","0.7536793183578622"
"0.9931949642735625","0.7538739669421488"
"0.9931949642735625","0.7540687160940326"
"0.9931949642735625","0.7542635658914729"
"0.9928547124872406","0.7542000516929439"
"0.9925144607009186","0.7541365046535677"
"0.9925144607009186","0.7543315231445565"
"0.9925144607009186","0.7545266425245732"
"0.9925144607009186","0.7547218628719276"
"0.9921742089145968","0.7546583850931677"
"0.9921742089145968","0.7548537406161014"
"0.9918339571282749","0.7547902641118591"
"0.9918339571282749","0.7549857549857549"
"0.9918339571282749","0.7551813471502591"
